hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800"
1000,"580","592","606","619","633","645","658","671","684","697","709","723","736","748","761","775","788","800","813","827","860","931","945","960","974","987","1001","1016","1029"
1100,"590","604","618","632","647","660","674","688","702","716","729","744","758","772","785","800","814","827","831","846","890","962","977","993","1008","1022","1037","1053","1068"
1200,"600","615","630","645","660","675","690","706","720","735","750","765","780","795","809","815","830","844","859","875","921","994","1009","1026","1042","1058","1073","1090","1106"
1300,"610","626","642","658","674","690","706","723","738","754","770","786","802","818","823","840","856","871","887","904","951","1025","1041","1059","1076","1093","1109","1127","1144"
1400,"620","637","654","671","688","705","722","740","756","773","790","808","814","831","847","865","882","899","915","933","981","1056","1074","1092","1110","1128","1146","1164","1182"
1500,"630","647","666","684","703","720","738","757","774","792","800","818","836","854","871","890","908","926","943","962","1011","1087","1106","1126","1144","1163","1182","1202","1220"
1600,"640","658","678","697","717","735","754","774","793","801","820","840","858","877","896","915","934","953","971","991","1041","1118","1138","1159","1178","1198","1218","1239","1258"
1700,"650","669","690","710","731","750","770","791","800","820","840","861","880","900","920","941","960","980","1000","1020","1084","1149","1170","1192","1213","1233","1254","1276","1297"
1800,"660","680","702","723","745","765","786","798","819","839","860","882","902","923","944","966","986","1007","1040","1062","1114","1180","1202","1225","1247","1268","1290","1313","1335"
1900,"670","691","714","736","759","781","792","815","837","858","880","903","925","946","968","991","1012","1047","1068","1091","1144","1212","1234","1258","1281","1304","1326","1392","1414"
2000,"680","702","726","749","773","785","808","832","855","877","900","924","947","969","992","1028","1051","1074","1096","1120","1174","1243","1266","1291","1315","1380","1404","1429","1453"
2100,"690","714","738","762","787","800","824","849","873","896","920","945","969","992","1029","1053","1077","1101","1125","1149","1204","1274","1299","1324","1391","1415","1440","1466","1491"
2200,"700","725","750","775","791","816","840","866","891","916","940","966","991","1028","1053","1079","1103","1128","1153","1178","1234","1305","1372","1399","1425","1451","1476","1503","1529"
2300,"710","736","762","788","805","831","856","883","909","935","960","987","1025","1051","1077","1104","1129","1155","1181","1208","1264","1378","1404","1432","1459","1486","1512","1540","1567"
2400,"720","747","775","791","819","846","872","900","927","954","980","1021","1047","1074","1101","1129","1155","1182","1209","1237","1340","1409","1436","1465","","","","",""
2500,"730","758","776","804","833","861","888","917","945","973","1013","1042","1070","1097","1125","1154","1182","1209","1282","1311","1370","1440","1469","","","","","",""
2600,"740","769","788","817","847","876","905","934","963","992","1033","1063","1092","1120","1149","1179","1208","1281","1310","1340","1400","","","","","","","",""
2700,"750","780","801","830","861","891","921","952","981","1023","1053","1084","1114","1143","1173","1204","1279","1308","1338","1369","","","","","","","","",""
2800,"760","781","813","843","875","906","937","969","1012","1042","1073","1105","1136","1167","1197","1274","1305","1336","1366","","","","","","","","","",""
2900,"770","792","825","856","889","921","953","986","1030","1062","1093","1126","1158","1190","1221","1299","1331","1363","","","","","","","","","","",""
3000,"770","803","837","869","903","936","969","1015","1048","1081","1113","1147","1180","1213","1290","1324","1357","","","","","","","","","","","",""
