hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","Kastgrootte"
1000,"317","327","339","349","361","371","381","393","403","414","424","436","446","456","467","478","488","499","509","521","531","137"
1100,"325","336","348","359","371","382","393","405","416","427","438","450","461","472","482","495","505","516","527","539","550","137"
1200,"334","345","358","369","382","393","405","417","429","440","452","464","476","487","498","511","522","534","545","558","569","137"
1300,"342","354","367","379","392","404","416","429","441","453","465","478","490","502","514","527","539","551","563","577","589","137"
1400,"352","365","379","391","405","418","430","444","457","469","482","496","508","521","534","547","560","573","585","599","612","150"
1500,"361","374","388","401","416","429","442","456","470","483","496","510","523","536","550","564","577","590","603","618","631","150"
1600,"369","383","398","411","426","440","454","468","482","496","510","524","538","552","566","580","594","608","622","636","650","150"
1700,"377","392","407","421","437","451","465","481","495","509","523","539","553","567","582","597","611","625","640","655","669","150"
1800,"393","408","424","439","456","471","486","502","517","533","548","564","579","594","610","626","641","656","671","688","703","165"
1900,"401","417","434","449","466","482","498","514","530","546","562","578","594","610","626","642","658","674","690","706","722","165"
2000,"409","425","443","459","477","493","509","526","543","559","575","593","609","625","641","659","675","691","708","725","741","165"
2100,"418","434","452","469","487","504","521","539","555","572","589","607","624","641","657","675","692","709","726","","","165"
2200,"426","443","462","479","498","515","532","551","568","585","603","621","639","656","673","692","709","727","","","","165"
2300,"440","458","478","496","515","534","552","571","590","608","626","645","664","682","700","720","738","","","","","180"
2400,"448","467","487","506","526","545","563","583","602","621","640","660","679","697","716","736","","180"
2500,"457","476","496","516","536","556","575","595","615","634","654","674","693","713","732","","","180"
2600,"465","485","506","526","547","567","587","608","627","647","667","688","708","728","","","","180"
2700,"473","494","515","536","557","578","598","620","640","661","681","703","723","","","","","180"
2800,"481","502","525","546","568","589","610","632","653","674","695","717","","","","","","180"
2900,"509","532","556","579","603","626","649","673","695","718","741","","","205"
3000,"517","541","565","589","613","637","660","685","708","732","755","","","205"
