hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","Kastgrootte"
1000,"470","480","492","502","514","524","535","547","557","567","578","137"
1100,"477","488","500","511","523","534","545","557","568","579","589","137"
1200,"487","498","511","522","535","546","557","570","581","593","604","150"
1300,"494","506","519","531","544","556","567","580","592","604","616","150"
1400,"502","514","527","539","553","565","577","591","603","615","627","150"
1500,"509","522","536","548","562","575","587","601","614","626","639","150"
1600,"525","539","554","567","582","595","609","624","637","651","664","165"
1700,"533","547","562","576","591","605","619","634","648","662","676","165"
1800,"540","555","570","585","600","614","629","644","659","673","687","165"
1900,"548","562","579","593","609","624","639","655","670","684","699","165"
2000,"555","570","587","602","618","634","649","665","680","695","711","165"
2100,"563","578","595","611","628","643","659","676","691","707","","165"
2200,"570","586","603","619","637","653","669","686","702","","","165"
2300,"578","594","612","628","646","662","679","696","","","","165"
2400,"592","609","628","645","664","681","698","","","","","180"
2500,"599","617","636","654","673","690","708","","","","","180"
