hoogte;1000;1200;1400;1600;1800;2000;2200;2400;2600;2800;3000;3200;3400;3600;3800;4000
1000;1254;1305;1350;1399;1447;1500;1548;1594;1642;1689;1740;1787;1834;1881;1930;1978
1100;1268;1323;1372;1420;1471;1527;1578;1627;1675;1724;1774;1824;1876;1923;1973;2023
1200;1285;1339;1390;1443;1492;1552;1604;1652;1707;1758;1809;1862;1912;1965;2016;2068
1300;1300;1354;1410;1462;1516;1579;1631;1684;1735;1790;1843;1900;1952;2005;2060;2112
1400;1314;1374;1430;1486;1541;1601;1655;1715;1769;1825;1881;1936;1992;2046;2102;2158
1500;1332;1391;1448;1505;1563;1629;1686;1741;1800;1857;1915;1973;2028;2088;2146;2205
1600;1347;1410;1466;1528;1587;1652;1713;1772;1831;1890;1951;2010;2070;2129;2248;2309
1700;1365;1426;1488;1548;1611;1678;1738;1802;1862;1924;1985;2046;2110;2232;2291;2355
1800;1377;1444;1506;1569;1635;1701;1766;1830;1892;1956;2021;2083;2207;2271;2333;2400
1900;1393;1461;1528;1591;1656;1728;1793;1860;1926;1991;2058;2183;2248;2312;2377;2444
2000;1409;1479;1545;1613;1681;1754;1820;1889;1956;2025;2091;2218;2288;2351;2420;2489
2100;1423;1495;1565;1637;1702;1779;1848;1919;1986;2056;2187;2255;2328;2392;2464;2533
2200;1441;1513;1586;1654;1727;1805;1876;1947;2017;2150;2221;2294;2364;2435;2505;2579
2300;1457;1531;1603;1677;1752;1830;1902;1976;2050;2183;2257;2332;2405;2475;2549;2625
2400;1472;1548;1623;1698;1774;1856;1930;2005;2141;2215;2293;2367;2443;2518;2592;2670
2500;1487;1565;1644;1722;1797;1880;1959;2034;2171;2251;2329;2407;2482;2560;2635;2716
2600;1503;1584;1660;1740;1820;1907;1985;2123;2202;2281;2362;2441;2521;2601;2679;2760
2700;1519;1601;1682;1765;1844;1932;2012;2154;2235;2314;2397;2478;2558;2642;2724;2805
