RAL;aecode;uitvoering;kleur;RGB
7012;AE30017701220;mat;BAZALTGRIJS;#575d5e
7016;AE30017701620;mat;Antracietgrijs;#383e42
7021;AE30017702120;mat;Zwartgrijs;#2f3234
7030;AE30017703020;mat;Steengrjs;#928E85
7039;AE30017703920;mat;Kwartsgrijs;#6b665e
8019;AE300C8801920;mat;Donkerbruin;#3d3635
9001;AE300C9900120;mat;Cremewit;#e9e0d2
9005;AE30014900520;mat;Gitzwart;#0e0e10
9006;AE20217068420;mat;Zilver;#a1a1a0
9007;AE30217900720;mat;Grijs aluminium;#868581
9016;AE300C9901620;mat;Wit;#f1f0ea
7016;AE03057701620;structuur;Antrecietgrijs;#383e42
7021;AE03057702120;structuur;Zwartgrijs;#2f3234
7039;AE03057703920;structuur;Kwartsgrijs;#6b665e
9004;AE03054900420;structuur;Signaalzwart;#2B2B2C
9005;AE03054900520;structuur;Gitzwart;#0e0e10
9005;068/80381;structuur;Gitzwart;#0e0e10
